state,date,sex,ethnicity,abs,Year,Malaysia_total_population,lat,lon,birth_rate
Johor,2020-01-01,both,overall,56908.0,2020,33889515,1.9344,103.3587,1.6792214347121817
Kedah,2020-01-01,both,overall,33828.0,2020,33889515,6.0499,100.5296,0.9981848368145724
Kelantan,2020-01-01,both,overall,36275.0,2020,33889515,5.1151,101.8892,1.0703900601705276
Melaka,2020-01-01,both,overall,13855.0,2020,33889515,2.3263,102.3464,0.4088285122994531
Negeri Sembilan,2020-01-01,both,overall,17120.0,2020,33889515,2.8707,102.2548,0.5051709946276894
Pahang,2020-01-01,both,overall,25344.0,2020,33889515,3.9743,102.4381,0.7478419210189345
Perak,2020-01-01,both,overall,31582.0,2020,33889515,4.8073,100.8,0.9319106514212434
Perlis,2020-01-01,both,overall,4101.0,2020,33889515,6.517,100.2152,0.12101087902851368
Pulau Pinang,2020-01-01,both,overall,19645.0,2020,33889515,5.2632,100.4846,0.5796778148049626
Sabah,2020-01-01,both,overall,49587.0,2020,33889515,5.4204,116.7968,1.4631959176754226
Sarawak,2020-01-01,both,overall,35449.0,2020,33889515,2.5574,113.0012,1.0460167399858038
Selangor,2020-01-01,both,overall,93577.0,2020,33889515,3.5092,101.5248,2.7612375095955195
Terengganu,2020-01-01,both,overall,27177.0,2020,33889515,5.0936,102.9896,0.8019294463199016
Kuala Lumpur,2020-01-01,both,overall,23199.0,2020,33889515,3.1319,101.6841,0.6845480084326967
Labuan,2020-01-01,both,overall,1714.0,2020,33889515,5.2831,115.2308,0.05057611476587965
Putrajaya,2020-01-01,both,overall,2143.0,2020,33889515,2.9256,101.6954,0.06323489728312724
